Uuid,Privilege name,Description,_order:1000
b54b5893-278f-4cfb-84be-fb14da1fee09,app:hoja.clinica.alergias,Permite ver alergias del paciente dentro del chart.,
d6728754-0459-474c-ac8b-e448f41c8614,app:hoja.clinica.alergias.editar,"Permite registrar, editar o eliminar alergias del paciente desde el chart.",
c088a9a2-05d2-4c1a-a124-667d6ffb41a1,app:hoja.clinica.condiciones,"Permite ver antecedentes, problemas y diagnosticos del paciente dentro del chart.",
eed47113-ca46-457e-873e-6a8ca452725a,app:hoja.clinica.condiciones.editar,"Permite registrar, editar o eliminar antecedentes, problemas y diagnosticos desde el chart.",
9bf02764-fc7f-4daa-933a-d39bf0212d1e,app:hoja.clinica.procedimientos,Permite ver procedimientos clinicos del paciente dentro del chart.,
e3d53d3b-697c-472a-9150-91afee5a9354,app:hoja.clinica.procedimientos.editar,"Permite registrar, editar o eliminar procedimientos clinicos desde el chart.",
a74bfb09-b264-4952-81ed-c21d2ff871e7,app:hoja.clinica.consultaExterna,Permite ver la seccion de consulta externa del paciente dentro del chart.,
c84fd776-9b29-429f-bd2a-2f7c4f22a040,app:hoja.clinica.consultaExterna.editar,Permite registrar o editar informacion de consulta externa desde el chart.,
686fd650-8511-4749-99c6-2271aa68b060,app:hoja.clinica.adjuntos,Permite ver archivos adjuntos del paciente dentro del chart.,
c650e809-6271-44f6-b07e-162b27e99fb4,app:hoja.clinica.adjuntos.editar,Permite cargar o eliminar archivos adjuntos del paciente desde el chart.,
979b4e50-e3aa-4ca2-80f8-26503ff694d2,app:hoja.clinica.historiaSocial,Permite ver la historia social del paciente dentro del chart.,
007f736c-3e13-4e4d-b182-cbe34211e481,app:hoja.clinica.historiaSocial.editar,Permite registrar o editar historia social del paciente desde el chart.,
15f7f2fb-9dba-4dd5-ad63-0c660f7c10de,app:hoja.clinica.fichaFamiliar,Permite ver ficha familiar y relaciones del paciente dentro del chart.,
c251459a-fcdf-4971-a6f2-6d01b52f9e98,app:hoja.clinica.fichaFamiliar.editar,"Permite registrar, editar o eliminar relaciones y datos de ficha familiar desde el chart.",
72b5e6b4-6868-430f-bd24-7e45961f3de9,app:hoja.clinica.tamizajes,Permite ver tamizajes del paciente dentro del chart.,
33af946d-688f-4fdd-81e5-77e477c7fa50,app:hoja.clinica.odontologia,Permite ver la seccion de atencion odontologica dentro del chart.,
bd667e11-6db4-4405-9203-37b52fb5b2ed,app:hoja.clinica.odontologia.editar,Permite registrar o editar atenciones odontologicas desde el chart.,
81532a0f-451d-4a88-878d-08e300c10805,app:hoja.clinica.psicologia,Permite ver la seccion de psicologia del paciente dentro del chart.,
c90e418a-e488-46e3-9b6b-9a6436b7ca1c,app:hoja.clinica.psicologia.editar,Permite registrar o editar atenciones de psicologia desde el chart.,
8b0baf4c-16d7-4be5-97f4-79e5d17fd1d9,app:hoja.clinica.terapiaFisica,Permite ver la seccion de terapia fisica del paciente dentro del chart.,
4557b4b3-5159-408e-b437-3c417be7fefc,app:hoja.clinica.terapiaFisica.editar,Permite registrar o editar atenciones de terapia fisica desde el chart.,
e9ac1827-f4ad-46da-b3d0-4c9914045c74,app:hoja.clinica.interconsultas,Permite ver interconsultas del paciente dentro del chart.,
b3ac73a8-8d6c-48c2-a8ff-e3fd51b54f1d,app:hoja.clinica.interconsultas.editar,"Permite solicitar, responder o gestionar interconsultas desde el chart.",
ed9616a9-292f-438d-bdd1-98b76d3bd65d,app:hoja.clinica.inmunizaciones,Permite ver inmunizaciones del paciente dentro del chart.,
00a5c2d7-489e-4007-8580-3312283c6b83,app:hoja.clinica.inmunizaciones.editar,"Permite registrar, editar o eliminar inmunizaciones del paciente desde el chart.",
a4f32924-bf7d-4c27-a452-e7bec72a2ae8,app:hoja.clinica.imagenes,Permite ver estudios e imagenes del paciente dentro del chart.,
a8dc6fcc-1e59-474b-9dfd-da46118e4a75,app:hoja.clinica.imagenes.editar,"Permite registrar, vincular o editar estudios e imagenes del paciente desde el chart.",
74ff4587-aa03-499c-b06c-2d17d0012b19,app:hoja.clinica.programas,Permite ver programas clinicos del paciente dentro del chart.,
9570b71b-a82a-47c7-922c-58dbb3f9af0e,app:hoja.clinica.programas.editar,"Permite registrar, editar o eliminar programas clinicos del paciente desde el chart.",
a33ef690-5ceb-46f3-98a8-8d4744e68f2f,app:hoja.clinica.facturacion,Permite ver el historial de facturacion del paciente dentro del chart.,
dce06071-e83d-410f-b10d-9d9baad078a0,app:hoja.clinica.facturacion.editar,"Permite registrar, editar o eliminar cargos de facturacion del paciente desde el chart.",
10de12c7-8e2f-4732-b2b3-20aacfcd1286,app:hoja.clinica.controlPrenatal,Permite ver la seccion de control prenatal dentro del chart.,
1c6c7a76-8e31-4b5f-8686-add6b6a2e64e,app:hoja.clinica.controlPrenatal.editar,Permite registrar o editar atenciones de control prenatal desde el chart.,
c3cdf445-f082-4545-8b3c-d053badfe860,app:hoja.clinica.partoPuerperio,Permite ver la seccion de parto y puerperio dentro del chart.,
ff8ffa6a-75a4-4f8f-848e-a1f8cad9da69,app:hoja.clinica.partoPuerperio.editar,Permite registrar o editar atenciones de parto y puerperio desde el chart.,
fb5d6ea0-3ff7-4643-b750-92f4492a2b92,app:hoja.clinica.atencionPostnatal,Permite ver la seccion de atencion postnatal dentro del chart.,
f2bdc2ae-a28a-4bd4-bb9b-a125f5960077,app:hoja.clinica.atencionPostnatal.editar,Permite registrar o editar atenciones postnatales desde el chart.,
9f023f64-64ca-4937-acab-1d158608c437,app:hoja.clinica.planificacionFamiliar,Permite ver la seccion de planificacion familiar dentro del chart.,
bced2cc7-d16e-4149-81ff-fee33b842673,app:hoja.clinica.planificacionFamiliar.editar,Permite registrar o editar atenciones de planificacion familiar desde el chart.,
14adbcea-fcd4-43d6-8b44-f3640d9b6802,app:hoja.clinica.prevencionCancer,Permite ver la seccion de prevencion de cancer dentro del chart.,
a114d3cb-4027-4d92-b9b0-52f140e03163,app:hoja.clinica.prevencionCancer.editar,Permite registrar o editar atenciones de prevencion de cancer desde el chart.,
25489829-45fd-443c-b6b1-1ae3f7f992cb,app:hoja.clinica.seguimientoCasos,Permite ver seguimiento de casos del paciente dentro del chart.,
f19a3b2b-7234-491b-8252-9c6b1ccdd037,app:hoja.clinica.perdidaSeguimiento,Permite ver perdida de seguimiento del paciente dentro del chart.,
93ca0856-2048-4f91-a1e3-9d7e33601c8a,app:hoja.clinica.perdidaSeguimiento.editar,Permite registrar o editar eventos de perdida de seguimiento desde el chart.,
3c7d37b0-16fd-4132-9ddb-6ecfdd62e4a2,app:hoja.clinica.accionesSinConexion,Permite ver acciones offline del paciente dentro del chart.,
214a579a-afc4-4027-8718-35c2862b1a75,app:gestionInventario.resumen,Permite ver el resumen y sus indicadores y alertas de inventario.,
0a44f4a7-06ed-4d3b-b503-9d6c3b0b752d,app:gestionInventario.articulos,Permite consultar los articulos administrados en el inventario.,
b6e42dc3-66cf-4c01-8aae-0a30803d505a,app:gestionInventario.articulos.editar,Permite crear editar importar y configurar articulos y sus reglas de inventario.,
219fa016-72f3-41a4-898e-d704404865db,app:gestionInventario.operaciones,Permite consultar las operaciones y movimientos de inventario.,
791169c4-8b0a-40a4-8352-aef5b766b30a,app:gestionInventario.operaciones.editar,Permite crear editar aprobar rechazar cancelar recibir o emitir operaciones de inventario.,
5d50f6c9-1f85-4180-b720-cd724188ea5b,app:gestionInventario.fuentes,Permite consultar las fuentes que proveen articulos al inventario.,
91346cc5-187d-44af-8c48-9b1d6875d215,app:gestionInventario.fuentes.editar,Permite crear editar o eliminar fuentes de inventario.,
1f26e65b-d920-4d86-a8d2-c4fb5ae8bdee,app:gestionInventario.ambitosRoles,Permite consultar los ambitos de roles de usuario para inventario.,
1c7651fc-8b80-4236-8952-d1eb31df592e,app:gestionInventario.ambitosRoles.editar,Permite crear editar o eliminar ambitos de roles de usuario para inventario.,
5a9d192f-3085-4cb7-b176-5a17a66eb4aa,app:gestionInventario.reportes,Permite consultar y descargar los reportes de inventario.,
830d5e6c-147a-4111-9d4d-410983ca6f07,app:gestionInventario.reportes.editar,Permite generar o duplicar reportes de inventario.,
1ceaca48-5c0f-4a66-b64d-ac636c78e2b9,app:gestionInventario.configuracion,Permite ver la opcion y la informacion de configuracion de inventario.,
f94e9293-589a-4b0a-93a8-836b9801a910,app:gestionInventario.configuracion.editar,Permite modificar la configuracion operativa de inventario.,
2f8c1d64-3a97-4e52-9b61-7c4d8e05a913,app:appointments.startDate.edit,Permite cambiar la fecha de una cita; sin este privilegio la cita solo puede programarse para el dia en curso.,
6b3e0a57-94d2-4f18-8c25-1de7b3a64f90,app:appointments.issueDate.edit,"Permite corregir la fecha de emision de una cita, por ejemplo al registrar una cita emitida en papel un dia anterior.",
