Uuid,name,style,rank,description
3a1741ba-b06d-400f-a469-68eadbd8483d,risk,color:red,1,Riesgo de seguridad clínica o administrativa que requiere acción durante la atención
01d65ed3-f47a-42a4-9f83-0558bfccdb49,info,color:#525252,2,Información administrativa relevante para continuidad de atención
